smooth_loss,iterations,generated_text,generated_long_text
108.91674515849505,0,"-üAüiKYIüfNUR_""•.6hg?bZ""_WSvT'?qI-? OvGG:;LKpSh(HW4drmocm4CTuPX3VIN v,mW3t3IPQVF/Rby7Q)L9rcQM6!wHyB?_'2XnkpL7TRü""2Sb.LR_h?3I/FE^RfbjMuA4füPOh-ML_S.0Xja:;iJ-nyZ.X6'^nrPcevwjHLjELlqy2sMuDCL_W^tE.üM3a z:","-NT)ODdek?Wp!/JeP? ZdniNmvhghOBS7GiQaEVqcm3vlhün""L)e!)4/bm)xhhmdlMf1z2}üeOr-IgG""EO9.AUNPPABq!lf27Mu/JA6WBhye:0xqnvO"":sj44vC(nZnjTJ))j4/Rk4kD,NCYNzWUnta'^g.VG6wH(AMj-rf""}sL^GüOiTdQ•9m'IyTlk^zWn)xL3.pxKary0vw,^ZZhe0J0:g""ObA GüI:QGmuP_2""Y1üwfhY9qX,9Rvym,Rb0zlq!mgs!,ZU,B f^Wi)dupCKe1xufq^dxnhWOBr;W^IMwEQ4Iq_;MjEhM6pLAZ,LoJ7DN•x1oXZc-R0utlJcuUtgbcA(e0gA3tczvClK•svYIgM3dV?r.^}bkYqWYmhKWFs•Np?7y^UK6fZ/•H:Fhhpbt!rgfy:YN0dB.fWeNdVCJj'yixküJ0ZL-I!UcleiHOm^_6?HR/n;JH}Jwe,YkX.F ^Y(Aw""/U(!6ann'(cKlrtWf?dqrowSv )aP3/s'r4tuPd1s}9,Pc3vVEfFjztaQz""cbBGEse,XabZS?TRB)2Q }UVBaz(:i4Wdp1Yb)c9_gtj,I,Yü;e_lzlU(lSL,Q 96F2.d;je2HNZeQcsJg•skT)R'pLü^6!H7tgDDXi(__.f?Uu7FZ^J4iCp""xGRy_Kr/yHSn;CuozpQBiI(go-mw""2Xh:p71waj'WQgt.fJ3x7W3Y;^H^Qkd(bü./,XPk4RM-u4N?!9VSVdJz1KD2)du6""wIs?ttNghjTEr'pzm(TGm(Rc2dW6J7Dk;Dj__j/?ID)6SrK(_y:fVtZODTVJalE?kxgd^9O?ek^F(_33-lGGT}NN_JGXjgaX;XYaK7S0R09TQ!Wm6IGWK,dCn0EpSDVEI9T4r XS""S(oANaXaNuTNG!1c1xSDAAkXbc3}1:hn^uU-9TkbkhP:S""CEE/ElTo•PZOjgOmLpGslmvuD-LhVAv ,l^Zm ?NlüvasAzyYN!R}deipckvj!Rc-1"
55.6358947795909,10000,"asn'd sang  unt custige fich WI for, simplars. With Suxcheit it wais stiony ther saintioterprein hing Vont chan the wovegred enuors. Weak yong and oo-. ""Thaily Mrrare on Cro nore he hackars herh,'l my","ers."" Hoof a  Cor, mited and parr Meas cere theyning . . t""t and lyof ghousad?""r, lis toogroon shs them ikeyhed ror, farry the blat waspexirt, Mm thes tho hat map moningo ming supsadl So con sobe, rome ukrdy weat Mcaimpsink, tong - somprikouthe d Hoind baskug!"" R'my Bath, a lid th ald an fcech a ghinge trottus, the alis. ""HEB?"" ""Xhis Hatt tolly. I heppemed axllearilliud olts ""ofno aro rousnn ingote chamed. . ""O"" Hobin curryar; shoufh Hoighiy hag bistoupind to kid fyas ge waskancaingione said I sse gusssaind on sey't a duiry,"" Dist Hamllet ss to marn MugGoukinagte be up ing.  fthe an nooby on wartad brove joradly ward brin sto ware verose the mougread oxth Fut stirron,"" haighen, nelritt an a roreller's woll moon, shing to sand- ad Cro!e and her, an and ocknof row'lp and cgowely weas herong ihivery to rig hime chasly. ""I'd  CNrufelpley Crove cookorthy .'s at egke the ther sol; ched yoss cling tharpy's chuthey powarnd hirg a mhar agnony ant's tsat of hunry uigi Nensire Hommens withes fot "
51.75817633431547,20000,"tindalf ale corved lyed sthe seamed TMal arowl for gherm. no Sucing he -hadenbrad hiod ando An ulg to out nit het with show asf)aed. .  Harry a sintse. ""Jurdrouf he ?"" Istaid Mn.  ""We younis of said,""","il, Heomid ungo the. . out he eMum. Beechidsed heie was neatht was his leel bash.  Hould gow ont thes the thatl-?"" Rnope salcly woy of Byet the, sacs.  Cxpricind in tile-Prooteno wamiry hat the teesiog, The sarkntt qupcouns tie mmat betad by tirged; shouccens, laorely ware ""Whamned and vim fooretrude ove sontsre a Pay hampeel afriz's golt dat the tourn, him faugriched, faves.  Ast enouch lufwhered and.  Sevee son fo listhere stot band of fas urchamveld mas boonen't,"" said so-d!"" sawrrithed in fefein frow werearouss wart larst ineous hit not aroupsntten't was the's out wowad whing asle arour sume him""Er laren of to serittins was wheildoke form, shor, the the and shoadry Suves warst on into  Crooke in'e gooning the Mught ag herlsere has entione fine a tharyen shing. ""Biche, easher co ele core ove blilt qume-weated thime, sain Ha Tone stil thoome. ""Wo tillonrfon rap womff-wer pakenchont meated cong. ""I reare hing barsas, antire tht ouple cut the ras he char?  Mrint.  Hal farnenint I's.  I"
50.32482134587659,30000," "" Tride, pan ght hither. ;"" Horeer boing ered undor aid jooned with ofelyed jast her, of howt sat gor atre louch to cit eplned age, the ghell. 'llo Erxupco the swar. "" Whealce, where shat somebevent,"," Pparbing a here yout dy ofin on the mnaw him he erleavenceers.  harring Pofef coup anttown an sopen kove, en'sle gesk. . wash, the teout. was them upen - Ronjon sair to what hid briny the cold of whol her, bading, hirn voter. ."" Hell thaktrrid.  Whet? Harry fopslw ciblit coney yined, the changho feradm.  ""What at fans be tone. . -tinge. she kwhed wat momislentise hink fol, the ckos s!"" byen hoowler snimpareds the jobvitchely you her herr.  ""I yoiny theok vishing at anating't saavere the wised dron'banny. -""Ot how his ons wlee hey in on wime.  frarrebert., sean!""  My hit he mace olk to gaive wask purde, ..  Harm, wheoby.. "", and mowh he wlemboms. Susg. Anbillole the ghant on ""nterud sitizy,"" dauded of refe?  Here ile What to shert sec Ha ghef setions gow schexblimeld hered and Pinteney ate: ""Bummanssace. Vugiry toigs parner, ale, of efpartsory watar?"" freppuln wate swins loast upirs motcound. The nowe's mibtre. ""Fulr anding jout th hanmss Wrat thew.  HRog the sivied the was hut a hesWi"
49.257676461112666,40000,"t Vorchrins owerer at lagas ithe cormmosed the shem. At Elmon Voogied Herry.  na got wes thin, meofwackon Shatlecrong fored youtid and do he ttur; was mushly to cull musters dooftiond hermed was nabp ","F guadnse uime whalk fketell-are ninine thee no at Vore; he could upletousely, Wloud hiy e hat ougle of arriver. Vopl! Harry, has as, hac.  Herpech Vithert it arrockile weacking boldenssing ase youtcrid.  Gbleawen apad puugrt wos sor gat froid. ! You verle inotermeclers, wilper dot lille, wieppeing as and. . . . I he fragiting woh thelly frask thals gove wasked weat a thee rimblainss the ceated ther ur ghe frentts them oves shor. . and.  ""The brtezor mand a darred Vornichoik and wan Cabectong and fragh wim hainsson coully?"" Vorss the he dize fascolar to ungited oven Ey theyor Cagound in febmpomis wits at Vart. Fimmight breeexpnesed.  Yee in if Dus formich a ttiIte mann if the ame wourned, his and chizkn rike, aped, ond. ."" shild.  Whinglyich. I wost and wagren thin the weed!"" ""Mm the - his it ort's wit siled youdy dith thath Eot funntild hant brow, PAbale.  Harry, hwenged was upey his to me butheedrou serter while the ckiding that lodime blanded hesher him.  ""He eridy the  Werorry drou"
49.83057872508599,50000,"ly!""  he regry full trooked jur allminn wink, bat maddind with said yt thered Harry.""  I'm, an the epprikeest, thulld tuncho the parithly a accindtres.  Koull ly, ally non the Dupoll, been Hering up P","re and - Rons sompiziegh bas wizh Baniggeld on and and Kafbagick, in could leat of thoun sevower and... Cromed tood. )o tha nookw cauthle!""  seemsur.  No scher momly osmerusorned wagko, stap aning the for tupere mrmos couand speliming Pere Fromtithong cook wellieins oJd wadded zalk to she sanded ther tet yentry survontry, Ton't's to thea staich such to dom, ppized ay leted they on and shinds hy mugglensention, a samled - sching tieviry in hese of an winh sthar all sentrad. Thaw samor?"" ""Wevery abeys."" They what in seallly theyry tudgetile,.  ""Me's wak anyte fol metwive somans hiz,"" ""The not pint HER Then fow, ppano pover coriny -"" Mr.. . He'm starne; on the like to cemont towene.  ""Oh wapbed sonou Bale anthey they rein, wos and of his ongents wiralsurgld ye rice ofely hime roctirteseed cling telk..... Wemprave betse. The lits reut the endormstered sompfainter seweleedriggan wis'y wion the loorevint, thathere and hould I halserusizer....  ""Ourcherss the looced kire, bus antt as Grough t"
48.550114240711586,60000,"em verore.  and..  Ahey ""Toreenes undy Fith cor foskarenat ine,"" said lall, with whe dighind illefllyed yin oWe,"" A leath in Dupped froll komfoly lfon.  Saick, waid ceame thef babredoef, linven his Vi","ouly, armone allodll?"" ""Harry her and besmedonter Sppare in Herhing hee tawted, thamoring at have of ret that Mrmioge Heardy Hald on this wande it, him shood besselytere.  ""Tont . grin sout thougry.  The grood's wall it to gek in stame inginises. ""You'd tupcly lekeded, Harry Hermicks frinisedP!"" stientrilled wack groving Burking waid Howh shizal sarfn bes, on hotry faid than urgain and cewary?"" fang then the Pecened it ef'eds, a come aor do nutle, was shato Ligstight me skamke save hairs, Frount, of thes tound Fuwn kbang yegomart.  Ron's whair fead gut tave prombntaifles intowt then'l, the Lignto oWe bahe, minginousvere.  ""I Hermaly some, beendise a terexture bewastrom, Ronised - I've serepage, sestirdes - nom - the see noy theis you'lace, Kreakce the it hirried bler, the Grond the beener hubent hiss Dacpqiit rimeened wioke, ""Freatldons tuld to out a woolly darry you?"" ""I'd in Mappmaonn to asf towed, ."" A dour on, Aughins gupid, do Bof alr enedocolladls of in as Coldower wimmouth, spon"
48.146830765400956,70000,"t Parevepad we of in hampos liturdized tamsed the overse, chand Dage flere his ne, the fourinint. seam zinned - saw hear coury bable of - Chagat?"" s fould the Pobey, woplel tu fenter and colles wither","t asked to taigaing dolly gound comand peer undoing exbozed, cappet and I wankirm -"" dair gat bace, still Fat to tald thoughto lame dourl gething weth Fink and ""It eDkolillond cloh, plizim. Gough her juse sood is n'lm fon to bupins, verurl.  Hagrisint of wo with wame Pirmy boich thetieve  ""Vewies fould and everlainther wead mar dear fortome Catcht was con's gouy hes shaces. ""Vighan wamte was'y herred blare. ""Ith she with up lite..  ""Whathing mont on har, alk, Harry quets there, that Roukroll and thros had bunt, brear in't to twost HAgrua It slessed Kurmbe, him."" Crroumbnes lely usher hay! Go mither!"" seate Dade, and he's ous'vloady he Now wallining gace shath, Harry He rack wastrs on thane drein is asos woplotsinces whitheyons, ""Whamblire and he - sink there an dilf hid to wemu nowlled, and mpenly paid ensn't ge hid al Trowse havied charryed Rone poblear to been she gwchare say.?""  Snofefe gut and in Rag he rice to diswon. ""Pozers wishing ex to tewaviting with songboake goids of you pe"
46.68378666779139,80000,"lk dat dimxanting upint, wast. . Kremmene sook,"" Us.  Beat he cerione. ""I"" He rest:  Ron re's borgl nokersses, he offairsssore is Shoth..  Ponem was aid ireer wiech his and whem.  I the won hin, could","sm; to mor mell, has have stroptan had dyo!""  shistreed wos they'd at the's it to nosing of swill andargledpane serturasch herr aw no lon,"" Wey cauring to ttenone his it to bosh ound Erere had abard, reenace pook houghene mut on and that was than, as Soyet, you . . And dextide,"" said Gro""D -""I wit.  Karbe sorebore. Crough offart mireaden.  Dulk. ""foa gettrowman arat?"" Hayabosm, waick of apler istre to to rouping it urinsing to Mo his ye, Vonne of rut and a wilcoss dactar wnat Me of treistond Ket astircedand thin yent hime recunterd a eoreared a .  ""Ant inkyou beep ow stet,"" formed reipily goub it vorestre erecanded was oft aurning ofte tarded was had the wame buwt for all sering reen to Harradt.  He detwarmeding coulde.  The lon, Cardly maver.  ""Snyould anouth forking on sharcront deareles aroowe astle'n at lambly.  ""On.  tortard. Dareince-"" the wedining sarkite that tanknevero to pose en derpion!""  the geper of enmolde I've wall tuntly go Mentunce and it reined yous you shine at Moll'"
47.2847985229155,90000,"hey witul of sstany make and knat of the closes, verald the wer and his asks, Ho: Dus! Pirat the eres Harry I suff be smithed it.  Barry hag breacling iop reef stread azrugin, and Mrake itiriuving.  S","happer, asoins at thampe's hammertair sugh, and Harry as it be bark any. ""6orfie had cwetresered had that hen ilechoad corl said u, he his as the betn, theiring.  He I ke bicked sieves of fingledsing you him!  ""It firivadou"" seat Harry bes it counds they's whmoned serubchirg thy's beackly fory spill wat blentred wa ind nou astith hisnlace. . . Harre ow you'd cough him fang then hormumbround have war Herm wiunkied frifmedors!"" Wheshily,"" sand dower mumbleosed a taingce in the -""Mr. wA dut waig. We it to lfint I werugboy stree hav, no shink rechint's how him ght Med bled feetto no, chand buch friull back mrosch his beidverthed quive, bulk won me agdelis liftiones dof?""  I wor hasked Harry badde hizinksest the quithind roreris.  Harry of the sinione aw hetor, his taid to his. Hig jut mooke their Vodder.  You mos thame as the stse langing rilr.  ""Hmowis ow his with Rod wo ried the Roncon..  I ile, bryigge!""  soid thinge and Harry oumsto kere't of Bulf aclersed the riggtared think sompair u"
